date,title,category,page
2025-09-20,SUSPENSION DE CLASES PARAESTUDIANTES PRIMER Y SEGUNDO CICLO,,2
2025-10-04,"Término de Clases Segundo Ciclo, periodo 2025‐B3",B3,2
2025-11-01,FERIADO LEGAL,,2
2025-11-15,Termina periodo de postulación a intercambios segundo semestre 2026,,2
2025-11-22,"Término de Clases de Asignaturas de Derecho, periodo 2025‐S2",S2,2
2025-11-22,Periodo de aplicación de encuestas evaluación de asignaturas semestrales y profesores periodo 2025‐S2 (primer y segundo ciclo),S2,2
2025-11-29,"Término de Clases asignaturas semestrales, período 2025‐S2",S2,2
2025-12-01,"Periodo de Exámenes Finales Asignaturas Semestrales, período 2025‐S2",S2,3
2025-12-01,Evaluación Docente Cursos Bimestrales ‐ período 2025‐B4,B4,3
2025-12-01,Publicación resultados postulaciones a Intercambios segundo semestre 2026,,3
2025-12-08,FERIADO LEGAL,,3
2025-12-15,"Periodo de Exámenes Finales Asignaturas Semestrales, período 2025‐S2",S2,3
2025-12-29,Inscripción de Asignaturas Semestre de Verano 2026,,3
2026-01-12,Inicio Semestre de Verano 2026,,3
2026-01-12,Toma de ramos estudiantes intercambio primer semestre 2026,,3
2026-01-26,Periodo de Exámenes semestre de verano,,3
2026-01-26,"Proceso de Inscripción de Asignaturas, Segundo ciclo, período 2026‐B1/B2 (Ingeniería Comercial, Ingeniería en Diseño, Psicología y Periodismo)","B1,B2",3
2025-12-02,"Periodo de Exámenes Finales Asignaturas Semestrales, período 2025‐S2",S2,3
2025-12-02,Evaluación Docente Cursos Bimestrales ‐ período 2025‐B4,B4,3
2025-12-02,Publicación resultados postulaciones a Intercambios segundo semestre 2026,,3
2025-12-09,"Periodo de Exámenes Finales Asignaturas Semestrales, período 2025‐S2",S2,3
2025-12-09,"Evaluaciones Finales Asignaturas Bimestrales Segundo Ciclo, Período 2025‐B4",B4,3
2025-12-16,"Periodo de Exámenes Finales Asignaturas Semestrales, período 2025‐S2",S2,3
2025-12-23,"Último día para que profesores suban notas finales, Segundo Ciclo, período 2025‐B4",B4,3
2026-01-13,"Primera etapa inscripción de asignaturas estudiantes primer ciclo, período 2026‐S1",S1,3
2026-01-13,Último plazo para que profesores suban a Omega Syllabus de asignaturas bimestrales 2026‐B1,B1,3
2026-01-27,Periodo de Exámenes semestre de verano,,3
2026-01-27,"Proceso de Inscripción de Asignaturas, Segundo ciclo, período 2026‐B1/B2 (Ingeniería Comercial, Ingeniería en Diseño, Psicología y Periodismo)","B1,B2",3
2025-12-03,"Periodo de Exámenes Finales Asignaturas Semestrales, período 2025‐S2",S2,3
2025-12-03,Evaluación Docente Cursos Bimestrales ‐ período 2025‐B4,B4,3
2025-12-03,Publicación resultados postulaciones a Intercambios segundo semestre 2026,,3
2025-12-10,"Periodo de Exámenes Finales Asignaturas Semestrales, período 2025‐S2",S2,3
2025-12-10,"Evaluaciones Finales Asignaturas Bimestrales Segundo Ciclo, Período 2025‐B4",B4,3
2025-12-17,Exámenes recuperativos asignaturas semestrales Periodo 2025‐S2,S2,3
2026-01-14,"Primera etapa inscripción de asignaturas 2do Ciclo Ingeniería Civil, período 2026‐S1",S1,3
2026-01-28,Periodo de Exámenes semestre de verano,,3
